Timestamp,Temperature (C),Humidity (%),Heat Index (C)
2026-03-24 13:08:26,23.6,37.0,25.1
2026-03-24 13:09:07,23.6,37.0,25.1
2026-03-24 13:09:37,23.7,37.0,25.2
2026-03-24 13:09:48,23.7,37.0,25.2
2026-03-24 13:09:58,23.7,37.0,25.2
2026-03-24 13:10:08,23.7,37.0,25.2
2026-03-24 13:10:18,23.7,37.0,25.2
2026-03-24 13:10:29,23.7,37.0,25.2
2026-03-24 13:10:39,23.7,37.0,25.2
